,DAY_OF_WEEK,DISTANCE_GROUP,AIRLINE_ID,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,DAY_OF_MONTH,MONTH,ORIG_STATE,DEST_STATE,DEP_TIME,OUT_TAXI,IN_TAXI,ELAPSED_TIME,NEW_DIST_GROUP
110,7,2,19393,33495,33214,15.0,1.0,16,42.0,1500.0,10.0,5.0,105.0,450.0
111,3,3,19393,31295,30397,25.0,1.0,20,8.0,900.0,10.0,5.0,105.0,550.0
112,1,7,19977,30325,31454,30.0,1.0,5,7.0,900.0,10.0,5.0,195.0,1550.0
113,7,6,19930,30299,30559,29.0,1.0,0,47.0,900.0,10.0,5.0,195.0,1450.0
114,3,5,19805,32467,31703,18.0,1.0,7,29.0,900.0,10.0,5.0,165.0,1050.0
115,3,3,19790,34057,34614,4.0,1.0,35,43.0,2100.0,10.0,5.0,105.0,650.0
116,3,4,19930,32575,34057,25.0,1.0,4,35.0,1500.0,10.0,5.0,135.0,850.0
117,4,5,19393,30529,31454,5.0,1.0,6,7.0,1500.0,10.0,5.0,165.0,1050.0
118,5,2,19790,32448,30397,27.0,1.0,23,8.0,900.0,10.0,15.0,75.0,350.0
119,2,2,19393,33158,30194,3.0,1.0,42,42.0,1500.0,10.0,5.0,75.0,350.0
120,6,1,19805,32467,33195,14.0,1.0,7,7.0,1500.0,10.0,5.0,45.0,250.0
121,3,3,19393,30397,31453,4.0,1.0,8,42.0,2100.0,10.0,5.0,135.0,650.0
122,1,2,19393,32211,33192,23.0,1.0,31,4.0,1500.0,10.0,5.0,75.0,350.0
123,1,3,20366,30647,31650,2.0,1.0,33,21.0,900.0,10.0,5.0,135.0,650.0
124,2,2,19393,31066,31123,31.0,1.0,33,22.0,2100.0,10.0,5.0,75.0,450.0
125,5,8,19393,30977,34057,20.0,1.0,12,35.0,2100.0,10.0,5.0,225.0,1750.0
126,7,1,20304,30466,30436,8.0,1.0,3,3.0,1500.0,30.0,5.0,45.0,150.0
127,5,4,19977,30325,30977,13.0,1.0,5,12.0,900.0,10.0,15.0,135.0,850.0
128,1,2,19790,31295,30693,30.0,1.0,20,41.0,900.0,50.0,5.0,135.0,450.0
129,6,1,20366,30469,30977,21.0,1.0,20,12.0,900.0,10.0,5.0,45.0,150.0
130,2,6,19977,30325,31057,31.0,1.0,5,25.0,900.0,10.0,5.0,165.0,1350.0
131,5,5,19393,33044,30325,13.0,1.0,15,5.0,900.0,10.0,5.0,165.0,1050.0
132,5,1,20304,30559,34057,13.0,1.0,47,35.0,900.0,10.0,5.0,45.0,150.0
133,5,5,19790,31650,30721,6.0,1.0,21,17.0,1500.0,10.0,5.0,165.0,1150.0
134,6,3,19790,30397,30194,21.0,1.0,8,42.0,1500.0,50.0,15.0,165.0,750.0
135,2,2,19790,30397,34492,3.0,1.0,8,25.0,900.0,10.0,5.0,75.0,350.0
136,4,4,19393,30325,33192,5.0,1.0,5,4.0,2100.0,10.0,5.0,165.0,950.0
137,4,3,19393,32457,34057,19.0,1.0,4,35.0,900.0,10.0,15.0,105.0,550.0
138,6,6,19805,31703,30194,28.0,1.0,32,42.0,1500.0,10.0,5.0,195.0,1350.0
139,1,4,19805,30194,30466,16.0,1.0,42,3.0,1500.0,10.0,5.0,165.0,850.0
140,2,6,19805,30423,34100,17.0,1.0,42,36.0,1500.0,10.0,5.0,195.0,1450.0
141,4,5,20409,32467,31703,26.0,1.0,7,29.0,1500.0,10.0,5.0,165.0,1050.0
142,4,2,19393,31123,30693,26.0,1.0,22,41.0,900.0,10.0,5.0,75.0,250.0
143,5,4,19393,30977,31453,6.0,1.0,12,42.0,1500.0,10.0,5.0,165.0,950.0
144,4,2,20304,30466,32575,19.0,1.0,3,4.0,1500.0,30.0,5.0,105.0,350.0
145,7,4,20416,30325,31453,29.0,1.0,5,42.0,1500.0,10.0,5.0,135.0,850.0
146,4,1,20304,30325,30372,26.0,1.0,5,5.0,900.0,10.0,5.0,45.0,150.0
147,5,3,20366,33367,30397,20.0,1.0,12,8.0,300.0,10.0,5.0,135.0,650.0
148,5,4,19790,30397,30721,13.0,1.0,8,17.0,900.0,10.0,5.0,135.0,950.0
149,7,5,19805,32575,30194,1.0,1.0,4,42.0,1500.0,30.0,15.0,195.0,1250.0
150,4,3,21171,34057,32457,5.0,1.0,35,4.0,900.0,30.0,15.0,105.0,550.0
151,6,3,19393,30977,30852,28.0,1.0,12,18.0,2100.0,30.0,5.0,105.0,650.0
152,2,7,19977,32467,30325,3.0,1.0,7,5.0,900.0,10.0,15.0,285.0,1750.0
153,2,3,20366,34674,30194,10.0,1.0,30,42.0,1500.0,10.0,5.0,75.0,550.0
154,2,2,19790,30397,31136,24.0,1.0,8,7.0,900.0,10.0,5.0,45.0,250.0
155,3,2,19393,30198,30977,25.0,1.0,36,12.0,1500.0,10.0,5.0,75.0,450.0
156,1,2,19393,32211,33570,23.0,1.0,31,4.0,2100.0,10.0,5.0,75.0,250.0
157,4,5,20409,32467,31703,19.0,1.0,7,29.0,2100.0,10.0,5.0,165.0,1050.0
158,5,5,19790,30721,31454,27.0,1.0,17,7.0,900.0,10.0,5.0,195.0,1150.0
159,3,2,19393,32457,33570,4.0,1.0,4,4.0,2100.0,10.0,5.0,75.0,450.0
